WKT,id,NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE
"POINT (135.714891568499 -14.2701137824178)","54791",NT_22192,"22192",Numbulwar Aerodrome,AIRPORT,AIR,TRANSPORT,-14.2701,135.7149,NT,2024/03/01 01:51:42
"POINT (134.396091661552 -20.9996137639197)","54880",NT_22193,"22193",Ali Curung Aerodrome,AIRPORT,AIR,TRANSPORT,-20.9996,134.3961,NT,2024/03/01 01:51:42
"POINT (129.528691230265 -14.2479138720404)","54966",NT_21128,"21128",Port Keats Aerodrome,AIRPORT,AIR,TRANSPORT,-14.2479,129.5287,NT,2024/03/01 01:51:42
"POINT (136.302791658522 -16.0754137509566)","57807",NT_20366,"20366",Borroloola Aerodrome,AIRPORT,AIR,TRANSPORT,-16.0754,136.3028,NT,2024/03/01 01:51:42
"POINT (133.292291670347 -25.8426137518255)","58230",NT_20922,"20922",Kulgera Airstrip,AIRPORT,AIR,TRANSPORT,-25.8426,133.2923,NT,2024/03/01 01:51:42
"POINT (134.891591475643 -12.3574138189914)","58231",NT_17886,"17886",Ramingining Airfield,AIRPORT,AIR,TRANSPORT,-12.3574,134.8916,NT,2024/03/01 01:51:42
"POINT (134.921491764105 -22.9892137366361)","58608",NT_23328,"23328",Harts Range Aerodrome,AIRPORT,AIR,TRANSPORT,-22.9892,134.9215,NT,2024/03/01 01:51:42
"POINT (133.234991636392 -24.5836137616744)","58609",NT_23329,"23329",Henbury Aerodrome,AIRPORT,AIR,TRANSPORT,-24.5836,133.235,NT,2024/03/01 01:51:42
"POINT (132.809191579348 -23.927113773607)","60147",NT_23330,"23330",Hermannsburg Aerodrome,AIRPORT,AIR,TRANSPORT,-23.9271,132.8092,NT,2024/03/01 01:51:42
"POINT (130.636191317804 -18.3348138381505)","60251",NT_23331,"23331",Hooker Creek Aerodrome,AIRPORT,AIR,TRANSPORT,-18.3348,130.6362,NT,2024/03/01 01:51:42
"POINT (130.952491323018 -16.1156138522281)","61934",NT_23335,"23335",Victoria River Research Station Aerodrome,AIRPORT,AIR,TRANSPORT,-16.1156,130.9525,NT,2024/03/01 01:51:42
"POINT (129.614691238616 -16.4305138560182)","61935",NT_23336,"23336",Kildurk Aerodrome,AIRPORT,AIR,TRANSPORT,-16.4305,129.6147,NT,2024/03/01 01:51:42
"POINT (129.37859123108 -23.2646138083618)","62257",NT_23338,"23338",Kintore Aerodrome,AIRPORT,AIR,TRANSPORT,-23.2646,129.3786,NT,2024/03/01 01:51:42
"POINT (135.805991521411 -12.498013794027)","62302",NT_23340,"23340",Lake Evella Aerodrome,AIRPORT,AIR,TRANSPORT,-12.498,135.806,NT,2024/03/01 01:51:42
"POINT (134.073291500233 -15.2196138149022)","62303",NT_23341,"23341",Minyerri Aerodrome,AIRPORT,AIR,TRANSPORT,-15.2196,134.0733,NT,2024/03/01 01:51:42
"POINT (132.182891490038 -22.2656137946599)","62577",NT_23342,"23342",Mount Allan Aerodrome,AIRPORT,AIR,TRANSPORT,-22.2656,132.1829,NT,2024/03/01 01:51:42
"POINT (131.258891415057 -23.243613798308)","62806",NT_23343,"23343",Mount Liebig Aerodrome,AIRPORT,AIR,TRANSPORT,-23.2436,131.2589,NT,2024/03/01 01:51:42
"POINT (132.763091548639 -22.5312137842799)","62807",NT_23344,"23344",Napperby Aerodrome,AIRPORT,AIR,TRANSPORT,-22.5312,132.7631,NT,2024/03/01 01:51:42
"POINT (134.403091709482 -22.8018137504834)","62898",NT_23345,"23345",Alcoota Aerodrome,AIRPORT,AIR,TRANSPORT,-22.8018,134.4031,NT,2024/03/01 01:51:42
"POINT (133.379891393616 -11.6511138559952)","62899",NT_23363,"23363",Goulbourn Island Aerodrome,AIRPORT,AIR,TRANSPORT,-11.6511,133.3799,NT,2024/03/01 01:51:42
"POINT (130.42589126536 -11.3994138906438)","62991",NT_23364,"23364",Garden Point Aerodrome,AIRPORT,AIR,TRANSPORT,-11.3994,130.4259,NT,2024/03/01 01:51:42
"POINT (132.829591411467 -14.2655138447712)","63127",NT_23365,"23365",Eva Valley Aerodrome,AIRPORT,AIR,TRANSPORT,-14.2655,132.8296,NT,2024/03/01 01:51:42
"POINT (130.615891275422 -11.7649138869235)","63542",NT_23508,"23508",Bathurst Island Airfield,AIRPORT,AIR,TRANSPORT,-11.7649,130.6159,NT,2024/03/01 01:51:42
"POINT (130.878891320853 -16.4431138503464)","63543",NT_22926,"22926",Yarralin Aerodrome,AIRPORT,AIR,TRANSPORT,-16.4431,130.8789,NT,2024/03/01 01:51:42
"POINT (133.38299147956 -16.264413820254)","63905",NT_23449,"23449",Daly Waters Aerodrome,AIRPORT,AIR,TRANSPORT,-16.2644,133.383,NT,2024/03/01 01:51:42
"POINT (133.005791388652 -12.3248138569952)","64043",NT_23581,"23581",Oenpelli Aerodrome,AIRPORT,AIR,TRANSPORT,-12.3248,133.0058,NT,2024/03/01 01:51:42
"POINT (130.694591291155 -13.7503138715611)","64182",NT_23585,"23585",Daly River Aerodrome,AIRPORT,AIR,TRANSPORT,-13.7503,130.6946,NT,2024/03/01 01:51:42
"POINT (135.572591497255 -12.0189138042966)","64275",NT_23588,"23588",Elcho Island Aerodrome,AIRPORT,AIR,TRANSPORT,-12.0189,135.5726,NT,2024/03/01 01:51:42
"POINT (130.648491274831 -11.4177138893618)","64550",NT_23589,"23589",Snake Bay Aerodrome,AIRPORT,AIR,TRANSPORT,-11.4177,130.6485,NT,2024/03/01 01:51:42
"POINT (133.422391601754 -22.1273137758043)","64551",NT_23612,"23612",Ti Tree Airstrip,AIRPORT,AIR,TRANSPORT,-22.1273,133.4224,NT,2024/03/01 01:51:42
"POINT (137.833391954777 -20.9858136604772)","96456",NT_23485,"23485",Alpurrurulam Airfield,AIRPORT,AIR,TRANSPORT,-20.9858,137.8334,NT,2024/03/01 01:51:42
"POINT (134.747691527369 -14.7234138037542)","100462",NT_23156,"23156",Ngukurr Aerodrome,AIRPORT,AIR,TRANSPORT,-14.7234,134.7477,NT,2024/03/01 01:51:42
"POINT (134.290991477585 -13.6687138223695)","103300",NT_23709,"23709",Bulman Airfield,AIRPORT,AIR,TRANSPORT,-13.6687,134.291,NT,2024/03/01 01:51:42
"POINT (132.621891513051 -21.2524137956919)","174643",NT_23326,"23326",Willowra Aerodrome,AIRPORT,AIR,TRANSPORT,-21.2524,132.6219,NT,2024/03/01 01:51:42
"POINT (132.915691372115 -11.54921386444)","174919",NT_23327,"23327",Wauk Aerodrome,AIRPORT,AIR,TRANSPORT,-11.5492,132.9157,NT,2024/03/01 01:51:42
"POINT (131.02539130312 -13.0528138745634)","175608",NT_10678,"10678",Batchelor Airfield,AIRPORT,AIR,TRANSPORT,-13.0528,131.0254,NT,2024/03/01 01:51:42
"POINT (131.782891452804 -22.2541137997392)","175703",NT_22200,"22200",Yuendumu Aerodrome,AIRPORT,AIR,TRANSPORT,-22.2541,131.7829,NT,2024/03/01 01:51:42
"POINT (133.903691686597 -23.8045137541766)","175747",NT_10220,"10220",Alice Springs Airport,AIRPORT,AIR,TRANSPORT,-23.8045,133.9037,NT,2024/03/01 01:51:42
"POINT (130.876791291271 -12.4101138804611)","175839",NT_12222,"12222",Darwin International Airport,AIRPORT,AIR,TRANSPORT,-12.4101,130.8768,NT,2024/03/01 01:51:42
"POINT (136.823891560758 -12.2745137650574)","175980",NT_13241,"13241",Gove Airport,AIRPORT,AIR,TRANSPORT,-12.2745,136.8239,NT,2024/03/01 01:51:42
"POINT (136.458491598983 -13.9724137629276)","176073",NT_13309,"13309",Groote Eylandt Airport,AIRPORT,AIR,TRANSPORT,-13.9724,136.4585,NT,2024/03/01 01:51:42
"POINT (134.892591469146 -12.0946138210571)","176731",NT_15086,"15086",Milingimbi Airfield,AIRPORT,AIR,TRANSPORT,-12.0946,134.8926,NT,2024/03/01 01:51:42
"POINT (134.23519143902 -12.0567138362485)","177934",NT_14766,"14766",Maningrida Aerodrome,AIRPORT,AIR,TRANSPORT,-12.0567,134.2352,NT,2024/03/01 01:51:42
"POINT (130.876891291035 -12.3755138807215)","177975",NT_23610,"23610",Casuarina Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-12.3755,130.8769,NT,2024/03/01 01:51:42
"POINT (133.87199168119 -23.7132137554916)","178429",NT_23678,"23678",Alice Springs Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-23.7132,133.872,NT,2024/03/01 01:51:42
"POINT (134.187591610472 -19.646413778669)","181406",NT_23679,"23679",Tennant Creek Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-19.6464,134.1876,NT,2024/03/01 01:51:42
"POINT (132.259791383003 -14.4641138513134)","182710",NT_23681,"23681",Katherine Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-14.4641,132.2598,NT,2024/03/01 01:51:42
"POINT (130.843091289828 -12.4286138805456)","234392",NT_23682,"23682",Darwin Ambulance Station,AMBULANCE STATION,EMERGENCY,SOCIETY,-12.4286,130.8431,NT,2024/03/01 01:51:42
"POINT (130.397291269183 -12.4617138827977)","234393",NT_21454,"21454",Jones Bank,BANK,LANDFORM,TERRAIN,-12.4617,130.3973,NT,2024/03/01 01:51:42
"POINT (136.898091542883 -11.6459137677608)","242963",NT_21948,"21948",Truant Bank,BANK,LANDFORM,TERRAIN,-11.6459,136.8981,NT,2024/03/01 01:51:42
"POINT (136.495491665639 -15.9301137461498)","243980",NT_20278,"20278",Rruwangkala Rockbar,BANK,LANDFORM,TERRAIN,-15.9301,136.4955,NT,2024/03/01 01:51:42
"POINT (136.427391661169 -15.9216137483405)","243981",NT_20293,"20293",Liwirriyila Sandbank,BANK,LANDFORM,TERRAIN,-15.9216,136.4274,NT,2024/03/01 01:51:42
"POINT (130.866691287639 -11.9500138840031)","243982",NT_17511,"17511",Parsons Bank,BANK,LANDFORM,TERRAIN,-11.95,130.8667,NT,2024/03/01 01:51:42
"POINT (130.636491281793 -12.7004138797692)","243983",NT_17654,"17654",Pittard Spit,BANK,LANDFORM,TERRAIN,-12.7004,130.6365,NT,2024/03/01 01:51:42
"POINT (136.953091682087 -15.6013137339906)","243984",NT_17415,"17415",Outer Bank,BANK,LANDFORM,TERRAIN,-15.6013,136.9531,NT,2024/03/01 01:51:42
"POINT (130.671091275719 -11.4067138893167)","243985",NT_22659,"22659",Paddy Patches,BANK,LANDFORM,TERRAIN,-11.4067,130.6711,NT,2024/03/01 01:51:42
"POINT (131.179191302911 -12.1167138804554)","243986",NT_18614,"18614",Stephens Bank,BANK,LANDFORM,TERRAIN,-12.1167,131.1792,NT,2024/03/01 01:51:42
"POINT (136.822391608761 -13.6981137535761)","243987",NT_11831,"11831",Cody Bank,BANK,LANDFORM,TERRAIN,-13.6981,136.8224,NT,2024/03/01 01:51:42
"POINT (136.015691509555 -11.7775137938568)","243988",NT_12836,"12836",Firefly Bank,BANK,LANDFORM,TERRAIN,-11.7775,136.0157,NT,2024/03/01 01:51:42
"POINT (130.957091293154 -12.1558138818294)","243989",NT_12923,"12923",Foelsche Bank,BANK,LANDFORM,TERRAIN,-12.1558,130.9571,NT,2024/03/01 01:51:42
"POINT (130.456691284661 -14.8744138645345)","243990",NT_13294,"13294",Gregory Bar,BANK,LANDFORM,TERRAIN,-14.8744,130.4567,NT,2024/03/01 01:51:42
"POINT (129.336491219756 -14.5091138702584)","243991",NT_15017,"15017",Mermaid Bank,BANK,LANDFORM,TERRAIN,-14.5091,129.3365,NT,2024/03/01 01:51:42
"POINT (131.212491305023 -12.1889138796387)","243992",NT_15038,"15038",Middle Bank,BANK,LANDFORM,TERRAIN,-12.1889,131.2125,NT,2024/03/01 01:51:42
"POINT (130.974491296077 -12.4451138795196)","243993",NT_18036,"18036",Robertson Barracks,BARRACKS,DEFENCE,SOCIETY,-12.4451,130.9745,NT,2024/03/01 01:51:42
"POINT (130.978991296272 -12.4430138795033)","243994",NT_22190,"22190",Waler Lines,BARRACKS,DEFENCE,SOCIETY,-12.443,130.979,NT,2024/03/01 01:51:42
