WKT,id,NAT_ID,AUTH_ID,NAME,FEATURE,CATEGORY,GROUP,LATITUDE,LONGITUDE,AUTHORITY,SUPPLY_DATE,STATUS
POINT (147.417585307363 -41.024036025756),29083,TAS_48847G,48847G,Bridport Airstrip,LANDING AREA,AIR,TRANSPORT,-41.02403603,147.4175853,TAS,2024-07-07,gazetted
POINT (147.379815432833 -43.2348805185972),32005,TAS_48845F,48845F,Bruny Island Airstrip,LANDING AREA,AIR,TRANSPORT,-43.23488052,147.3798154,TAS,2024-07-07,gazetted
POINT (147.47737 -42.82705),33162,TAS_12927D,12927D,Cambridge Aerodrome,AIRPORT,AIR,TRANSPORT,-42.82705,147.47737,TAS,2024-07-07,gazetted
POINT (147.00991 -41.15544),35046,TAS_42239D,42239D,Cranbourn Airfield,LANDING AREA,AIR,TRANSPORT,-41.15544,147.00991,TAS,2024-07-07,gazetted
POINT (146.42424 -41.16965),39479,TAS_2840Y,2840Y,Devonport Airport,AIRPORT,AIR,TRANSPORT,-41.16965,146.42424,TAS,2024-07-07,gazetted
POINT (147.99363 -40.09418),42669,TAS_17165L,17165L,Flinders Island Airport,AIRPORT,AIR,TRANSPORT,-40.09418,147.99363,TAS,2024-07-07,gazetted
POINT (146.84111 -41.07948),79337,TAS_42957G,42957G,George Town Airport,AIRPORT,AIR,TRANSPORT,-41.07948,146.84111,TAS,2024-07-07,gazetted
POINT (147.50408 -42.83604),94922,TAS_11917E,11917E,Hobart Airport,AIRPORT,AIR,TRANSPORT,-42.83604,147.50408,TAS,2024-07-07,gazetted
POINT (147.85997 -39.84941),96459,TAS_46530H,46530H,Killiecrankie Airfield,LANDING AREA,AIR,TRANSPORT,-39.84941,147.85997,TAS,2024-07-07,gazetted
POINT (143.88276 -39.87778),114041,TAS_16499T,16499T,King Island Airport,AIRPORT,AIR,TRANSPORT,-39.87778,143.88276,TAS,2024-07-07,gazetted
POINT (148.24413 -40.1965),114054,TAS_42237C,42237C,Lady Barron Aerodrome,AIRPORT,AIR,TRANSPORT,-40.1965,148.24413,TAS,2024-07-07,gazetted
POINT (147.21161 -41.54346),114084,TAS_11615W,11615W,Launceston Airport,AIRPORT,AIR,TRANSPORT,-41.54346,147.21161,TAS,2024-07-07,gazetted
POINT (148.23414 -40.20247),114347,TAS_42238P,42238P,Murray Holloway Airfield,LANDING AREA,AIR,TRANSPORT,-40.20247,148.23414,TAS,2024-07-07,gazetted
POINT (145.52884 -42.07544),114836,TAS_17962F,17962F,Queenstown Aerodrome,AIRPORT,AIR,TRANSPORT,-42.07544,145.52884,TAS,2024-07-07,gazetted
POINT (148.01416 -40.38919),116302,TAS_17459T,17459T,Reg Munro Airfield,LANDING AREA,AIR,TRANSPORT,-40.38919,148.01416,TAS,2024-07-07,gazetted
POINT (145.08709 -40.83408),117679,TAS_1595L,1595L,Smithton Aerodrome,AIRPORT,AIR,TRANSPORT,-40.83408,145.08709,TAS,2024-07-07,gazetted
POINT (148.29072 -41.3384),117680,TAS_22404C,22404C,St Helens Aerodrome,AIRPORT,AIR,TRANSPORT,-41.3384,148.29072,TAS,2024-07-07,gazetted
POINT (145.28822 -42.16166),117832,TAS_18569D,18569D,Strahan Aerodrome,AIRPORT,AIR,TRANSPORT,-42.16166,145.28822,TAS,2024-07-07,gazetted
POINT (145.548194607003 -41.4487784736712),134353,TAS_48844R,48844R,Waratah Airstrip,LANDING AREA,AIR,TRANSPORT,-41.44877847,145.5481946,TAS,2024-07-07,gazetted
POINT (145.7359 -40.99883),149329,TAS_2339R,2339R,Wynyard Airport,AIRPORT,AIR,TRANSPORT,-40.99883,145.7359,TAS,2024-07-07,gazetted
POINT (145.35116 -41.88674),149537,TAS_22690E,22690E,Zeehan Airstrip,LANDING AREA,AIR,TRANSPORT,-41.88674,145.35116,TAS,2024-07-07,gazetted
POINT (147.95023 -43.04414),150095,TAS_4641T,4641T,Devils Kitchen,CAVE,LANDFORM,TERRAIN,-43.04414,147.95023,TAS,2024-07-07,gazetted
POINT (148.1165 -42.6634),150142,TAS_21964J,21964J,Keyhole,CAVE,LANDFORM,TERRAIN,-42.6634,148.1165,TAS,2024-07-07,gazetted
POINT (147.9514 -43.0423),150850,TAS_12121M,12121M,Tasmans Arch,CAVE,LANDFORM,TERRAIN,-43.0423,147.9514,TAS,2024-07-07,gazetted
POINT (146.34084 -42.62145),151450,TAS_23581L,23581L,Wright Arches,CAVE,LANDFORM,TERRAIN,-42.62145,146.34084,TAS,2024-07-07,gazetted
POINT (147.45914 -41.00669),152098,TAS_5224Y,5224Y,Adams Cut,CANAL,WATERWAY,HYDROLOGY,-41.00669,147.45914,TAS,2024-07-07,gazetted
POINT (146.55044 -41.58132),153553,TAS_20190S,20190S,Allsops Drain,CANAL,WATERWAY,HYDROLOGY,-41.58132,146.55044,TAS,2024-07-07,gazetted
POINT (146.51363 -41.8712),154976,TAS_19764E,19764E,Augusta Spillway,CANAL,WATERWAY,HYDROLOGY,-41.8712,146.51363,TAS,2024-07-07,gazetted
POINT (146.08663 -42.19274),155624,TAS_10777T,10777T,Beehive Canal,CANAL,WATERWAY,HYDROLOGY,-42.19274,146.08663,TAS,2024-07-07,gazetted
POINT (146.50709 -42.26177),162362,TAS_17728G,17728G,Bradys Canal,CANAL,WATERWAY,HYDROLOGY,-42.26177,146.50709,TAS,2024-07-07,gazetted
POINT (147.74182 -41.19546),162364,TAS_15411S,15411S,Briseis Race,CANAL,WATERWAY,HYDROLOGY,-41.19546,147.74182,TAS,2024-07-07,gazetted
POINT (146.50607 -42.14071),162365,TAS_10778X,10778X,Bronte Canal,CANAL,WATERWAY,HYDROLOGY,-42.14071,146.50607,TAS,2024-07-07,gazetted
POINT (146.49745 -42.10967),162366,TAS_23132C,23132C,Bronte Flume,CANAL,WATERWAY,HYDROLOGY,-42.10967,146.49745,TAS,2024-07-07,gazetted
POINT (146.4073 -42.17765),162367,TAS_4387A,4387A,Clarence Pipeline,WATER PIPELINE,WATER INFRASTRUCTURE,HYDROLOGY,-42.17765,146.4073,TAS,2024-07-07,gazetted
POINT (146.54508 -42.24158),162368,TAS_13131L,13131L,Dee Tunnel,CANAL,WATERWAY,HYDROLOGY,-42.24158,146.54508,TAS,2024-07-07,gazetted
POINT (147.80517 -42.89141),162369,TAS_6135P,6135P,Denison Canal,CANAL,WATERWAY,HYDROLOGY,-42.89141,147.80517,TAS,2024-07-07,gazetted
POINT (147.93518 -41.1054),162370,TAS_15477L,15477L,Garibaldi Race,CANAL,WATERWAY,HYDROLOGY,-41.1054,147.93518,TAS,2024-07-07,gazetted
POINT (148.16445 -41.32417),162371,TAS_14589L,14589L,Georges Bay Race,CANAL,WATERWAY,HYDROLOGY,-41.32417,148.16445,TAS,2024-07-07,gazetted
POINT (145.57418 -41.90568),162372,TAS_22424L,22424L,Henty Canal,CANAL,WATERWAY,HYDROLOGY,-41.90568,145.57418,TAS,2024-07-07,gazetted
POINT (147.14781 -42.13804),162373,TAS_13578K,13578K,Kermodes Drain,CANAL,WATERWAY,HYDROLOGY,-42.13804,147.14781,TAS,2024-07-07,gazetted
POINT (146.48991 -42.34627),162374,TAS_23351D,23351D,Liapootah Tunnel,CANAL,WATERWAY,HYDROLOGY,-42.34627,146.48991,TAS,2024-07-07,gazetted
POINT (146.63583 -41.90084),162375,TAS_1902A,1902A,Liawenee Canal,CANAL,WATERWAY,HYDROLOGY,-41.90084,146.63583,TAS,2024-07-07,gazetted
POINT (146.19404 -42.84794),162376,TAS_13271P,13271P,McPartlan Canal,CANAL,WATERWAY,HYDROLOGY,-42.84794,146.19404,TAS,2024-07-07,gazetted
POINT (146.65972 -42.03589),162377,TAS_1373D,1373D,Monpeelyata Canal,CANAL,WATERWAY,HYDROLOGY,-42.03589,146.65972,TAS,2024-07-07,gazetted
POINT (146.37038 -42.27785),162378,TAS_23358T,23358T,Mossy Marsh Canal,CANAL,WATERWAY,HYDROLOGY,-42.27785,146.37038,TAS,2024-07-07,gazetted
POINT (146.3491 -42.27645),162382,TAS_23359X,23359X,Mossy Marsh Tunnel,CANAL,WATERWAY,HYDROLOGY,-42.27645,146.3491,TAS,2024-07-07,gazetted
POINT (148.06356 -41.00952),162385,TAS_17922L,17922L,Mount Cameron Race,CANAL,WATERWAY,HYDROLOGY,-41.00952,148.06356,TAS,2024-07-07,gazetted
POINT (148.19479 -40.11051),162386,TAS_17341L,17341L,Nelsons Drain,CANAL,WATERWAY,HYDROLOGY,-40.11051,148.19479,TAS,2024-07-07,gazetted
POINT (147.91222 -41.12263),162387,TAS_15571G,15571G,Pioneer Race,CANAL,WATERWAY,HYDROLOGY,-41.12263,147.91222,TAS,2024-07-07,gazetted
POINT (147.48971 -42.9122),162388,TAS_16784G,16784G,Ralphs Bay Canal,CANAL,WATERWAY,HYDROLOGY,-42.9122,147.48971,TAS,2024-07-07,gazetted
POINT (148.12931 -41.27643),162389,TAS_14680A,14680A,Royal Ruby Race,CANAL,WATERWAY,HYDROLOGY,-41.27643,148.12931,TAS,2024-07-07,gazetted
POINT (146.12802 -42.16755),162390,TAS_10783P,10783P,Rufus Canal,CANAL,WATERWAY,HYDROLOGY,-42.16755,146.12802,TAS,2024-07-07,gazetted
POINT (148.06154 -41.28978),162391,TAS_14692J,14692J,Siamese Race,CANAL,WATERWAY,HYDROLOGY,-41.28978,148.06154,TAS,2024-07-07,gazetted
POINT (145.66005 -41.77793),162392,TAS_17689D,17689D,Sophia Tunnel,CANAL,WATERWAY,HYDROLOGY,-41.77793,145.66005,TAS,2024-07-07,gazetted
POINT (147.33705 -42.81768),162393,TAS_3584R,3584R,Southern Regional Water Supply Pipeline,WATER PIPELINE,WATER INFRASTRUCTURE,HYDROLOGY,-42.81768,147.33705,TAS,2024-07-07,gazetted
POINT (147.11725 -41.41171),162394,TAS_19629M,19629M,Tamar Cut,CANAL,WATERWAY,HYDROLOGY,-41.41171,147.11725,TAS,2024-07-07,gazetted
POINT (146.33562 -42.28789),162395,TAS_23375X,23375X,Tarraleah Canal No 1,CANAL,WATERWAY,HYDROLOGY,-42.28789,146.33562,TAS,2024-07-07,gazetted
POINT (146.27526 -42.26647),162396,TAS_23376A,23376A,Tarraleah Canal No 2,CANAL,WATERWAY,HYDROLOGY,-42.26647,146.27526,TAS,2024-07-07,gazetted
POINT (146.56604 -42.24761),162397,TAS_21999K,21999K,Tunnel Inlet,CANAL,WATERWAY,HYDROLOGY,-42.24761,146.56604,TAS,2024-07-07,gazetted
POINT (147.79438 -41.14562),162398,TAS_15634E,15634E,Valley Race,CANAL,WATERWAY,HYDROLOGY,-41.14562,147.79438,TAS,2024-07-07,gazetted
POINT (146.40019 -42.25413),162399,TAS_4388C,4388C,Wentworth Canal,CANAL,WATERWAY,HYDROLOGY,-42.25413,146.40019,TAS,2024-07-07,gazetted
POINT (145.54101 -41.88747),162400,TAS_22432L,22432L,White Spur Canal,CANAL,WATERWAY,HYDROLOGY,-41.88747,145.54101,TAS,2024-07-07,gazetted
POINT (146.48259 -42.21933),162401,TAS_12812C,12812C,Woodwards Canal,CANAL,WATERWAY,HYDROLOGY,-42.21933,146.48259,TAS,2024-07-07,gazetted
POINT (147.09654 -43.23294),162402,TAS_7510B,7510B,Abels Bay,BAY,WATERBODY,HYDROLOGY,-43.23294,147.09654,TAS,2024-07-07,gazetted
POINT (145.03171 -40.78052),162403,TAS_10667F,10667F,Acton Bay,BAY,WATERBODY,HYDROLOGY,-40.78052,145.03171,TAS,2024-07-07,gazetted
POINT (147.36404 -43.17862),162404,TAS_4479J,4479J,Adams Bay,BAY,WATERBODY,HYDROLOGY,-43.17862,147.36404,TAS,2024-07-07,gazetted
POINT (146.28686 -42.72883),162405,TAS_15300C,15300C,Adams Bay,BAY,WATERBODY,HYDROLOGY,-42.72883,146.28686,TAS,2024-07-07,gazetted
POINT (148.23166 -40.23),162406,TAS_3841T,3841T,Adelaide Bay,BAY,WATERBODY,HYDROLOGY,-40.23,148.23166,TAS,2024-07-07,gazetted
POINT (147.37412 -43.2979),162407,TAS_1491R,1491R,Adventure Bay,BAY,WATERBODY,HYDROLOGY,-43.2979,147.37412,TAS,2024-07-07,gazetted
POINT (158.93845 -54.49126),162408,TAS_7302G,7302G,Aerial Cove,BAY,WATERBODY,HYDROLOGY,-54.49126,158.93845,TAS,2024-07-07,gazetted
POINT (144.78943 -40.42697),162409,TAS_35636K,35636K,Aeroplane Corner,BAY,WATERBODY,HYDROLOGY,-40.42697,144.78943,TAS,2024-07-07,gazetted
POINT (144.95513 -41.7241),162410,TAS_4146J,4146J,Ahrberg Bay,BAY,WATERBODY,HYDROLOGY,-41.7241,144.95513,TAS,2024-07-07,gazetted
POINT (146.00186 -43.33264),162411,TAS_6145T,6145T,Aladdin Bay,BAY,WATERBODY,HYDROLOGY,-43.33264,146.00186,TAS,2024-07-07,gazetted
POINT (146.68336 -41.80174),162412,TAS_17701F,17701F,Alanvale Bay,BAY,WATERBODY,HYDROLOGY,-41.80174,146.68336,TAS,2024-07-07,gazetted
POINT (147.31325 -43.13752),162413,TAS_1495C,1495C,Alexanders Bay,BAY,WATERBODY,HYDROLOGY,-43.13752,147.31325,TAS,2024-07-07,gazetted
POINT (145.80653 -43.23089),162414,TAS_10539L,10539L,Alfhild Bight,BAY,WATERBODY,HYDROLOGY,-43.23089,145.80653,TAS,2024-07-07,gazetted
POINT (147.91459 -42.54158),162415,TAS_18839R,18839R,Alginate Bay,BAY,WATERBODY,HYDROLOGY,-42.54158,147.91459,TAS,2024-07-07,gazetted
POINT (146.27979 -43.64335),162416,TAS_35685G,35685G,Alomes Gulch,BAY,WATERBODY,HYDROLOGY,-43.64335,146.27979,TAS,2024-07-07,gazetted
POINT (146.10961 -43.54351),162417,TAS_3636H,3636H,Amy Harbour,BAY,WATERBODY,HYDROLOGY,-43.54351,146.10961,TAS,2024-07-07,gazetted
POINT (146.324 -43.52595),162418,TAS_3637K,3637K,Anchorage Cove,BAY,WATERBODY,HYDROLOGY,-43.52595,146.324,TAS,2024-07-07,gazetted
POINT (147.48433 -40.93775),162419,TAS_1857B,1857B,Anderson Bay,BAY,WATERBODY,HYDROLOGY,-40.93775,147.48433,TAS,2024-07-07,gazetted
POINT (147.13982 -42.18771),162420,TAS_18577D,18577D,Andrews Bay,BAY,WATERBODY,HYDROLOGY,-42.18771,147.13982,TAS,2024-07-07,gazetted
POINT (144.67879 -40.89287),162421,TAS_7397L,7397L,Ann Bay,BAY,WATERBODY,HYDROLOGY,-40.89287,144.67879,TAS,2024-07-07,gazetted
POINT (144.74135 -40.67206),162422,TAS_23012H,23012H,Annes Bay,BAY,WATERBODY,HYDROLOGY,-40.67206,144.74135,TAS,2024-07-07,gazetted
POINT (145.54198 -40.89807),162423,TAS_16900D,16900D,Anniversary Bay,BAY,WATERBODY,HYDROLOGY,-40.89807,145.54198,TAS,2024-07-07,gazetted
POINT (148.27419 -41.04637),162424,TAS_1624K,1624K,Ansons Bay,BAY,WATERBODY,HYDROLOGY,-41.04637,148.27419,TAS,2024-07-07,gazetted
POINT (147.28856 -43.15233),162425,TAS_1668N,1668N,Apollo Bay,BAY,WATERBODY,HYDROLOGY,-43.15233,147.28856,TAS,2024-07-07,gazetted
POINT (147.92743 -40.05536),162426,TAS_3799D,3799D,Arthur Bay,BAY,WATERBODY,HYDROLOGY,-40.05536,147.92743,TAS,2024-07-07,gazetted
POINT (147.2567 -42.77959),162427,TAS_3231H,3231H,Austins Ferry Bay,BAY,WATERBODY,HYDROLOGY,-42.77959,147.2567,TAS,2024-07-07,gazetted
POINT (147.77769 -42.23329),162428,TAS_12829Y,12829Y,Axe Handle Bay,BAY,WATERBODY,HYDROLOGY,-42.23329,147.77769,TAS,2024-07-07,gazetted
POINT (147.97959 -40.17561),162429,TAS_17154E,17154E,Back Bay,BAY,WATERBODY,HYDROLOGY,-40.17561,147.97959,TAS,2024-07-07,gazetted
POINT (147.3872 -42.32093),162430,TAS_13679X,13679X,Bacons Bay,BAY,WATERBODY,HYDROLOGY,-42.32093,147.3872,TAS,2024-07-07,gazetted
POINT (148.18573 -40.24424),162433,TAS_3842X,3842X,Badger Corner,BAY,WATERBODY,HYDROLOGY,-40.24424,148.18573,TAS,2024-07-07,gazetted
POINT (147.71982 -43.09702),162434,TAS_7398N,7398N,Badger Cove,BAY,WATERBODY,HYDROLOGY,-43.09702,147.71982,TAS,2024-07-07,gazetted
POINT (146.8682 -43.63535),162435,TAS_10480E,10480E,Barbers Corner,BAY,WATERBODY,HYDROLOGY,-43.63535,146.8682,TAS,2024-07-07,gazetted
POINT (147.48788 -42.82056),162436,TAS_6549R,6549R,Barilla Bay,BAY,WATERBODY,HYDROLOGY,-42.82056,147.48788,TAS,2024-07-07,gazetted
POINT (147.33387 -43.13217),162437,TAS_1670A,1670A,Barnes Bay,BAY,WATERBODY,HYDROLOGY,-43.13217,147.33387,TAS,2024-07-07,gazetted
POINT (148.17207 -42.05383),162438,TAS_11131Y,11131Y,Barney Wards Bay,BAY,WATERBODY,HYDROLOGY,-42.05383,148.17207,TAS,2024-07-07,gazetted
POINT (147.06591 -43.25544),162439,TAS_7511D,7511D,Barretts Bay,BAY,WATERBODY,HYDROLOGY,-43.25544,147.06591,TAS,2024-07-07,gazetted
POINT (147.84393 -43.19212),162440,TAS_2177M,2177M,Basket Bay,BAY,WATERBODY,HYDROLOGY,-43.19212,147.84393,TAS,2024-07-07,gazetted
POINT (148.28494 -40.27789),162441,TAS_17210K,17210K,Bates Bay,BAY,WATERBODY,HYDROLOGY,-40.27789,148.28494,TAS,2024-07-07,gazetted
POINT (146.18091 -43.34203),162442,TAS_3638M,3638M,Bathurst Harbour,BAY,WATERBODY,HYDROLOGY,-43.34203,146.18091,TAS,2024-07-07,gazetted
POINT (148.18218 -40.45029),162443,TAS_7790H,7790H,Battery Bay,BAY,WATERBODY,HYDROLOGY,-40.45029,148.18218,TAS,2024-07-07,gazetted
POINT (158.868 -54.55357),162445,TAS_7303J,7303J,Bauer Bay,BAY,WATERBODY,HYDROLOGY,-54.55357,158.868,TAS,2024-07-07,gazetted
POINT (148.31857 -41.13214),162446,TAS_1625M,1625M,Bay of Fires,BAY,WATERBODY,HYDROLOGY,-41.13214,148.31857,TAS,2024-07-07,gazetted
POINT (147.35434 -43.40901),162448,TAS_10355R,10355R,Bay of Islands,BAY,WATERBODY,HYDROLOGY,-43.40901,147.35434,TAS,2024-07-07,gazetted
POINT (147.99081 -39.64139),162449,TAS_17024F,17024F,Beach Bay,BAY,WATERBODY,HYDROLOGY,-39.64139,147.99081,TAS,2024-07-07,gazetted
POINT (148.13633 -42.61335),162450,TAS_2682D,2682D,Beaching Bay,BAY,WATERBODY,HYDROLOGY,-42.61335,148.13633,TAS,2024-07-07,gazetted
POINT (147.24397 -43.47452),162451,TAS_10356T,10356T,Beaufort Bay,BAY,WATERBODY,HYDROLOGY,-43.47452,147.24397,TAS,2024-07-07,gazetted
POINT (148.25747 -41.3322),162452,TAS_5269E,5269E,Beauty Bay,BAY,WATERBODY,HYDROLOGY,-41.3322,148.25747,TAS,2024-07-07,gazetted
POINT (147.34707 -42.85189),162453,TAS_3232K,3232K,Beauty Bay,BAY,WATERBODY,HYDROLOGY,-42.85189,147.34707,TAS,2024-07-07,gazetted
POINT (146.75475 -41.968),162454,TAS_1363Y,1363Y,Becketts Bay,BAY,WATERBODY,HYDROLOGY,-41.968,146.75475,TAS,2024-07-07,gazetted
POINT (147.25406 -42.78562),162455,TAS_3233M,3233M,Beedhams Bay,BAY,WATERBODY,HYDROLOGY,-42.78562,147.25406,TAS,2024-07-07,gazetted
POINT (147.8287 -41.99703),162456,TAS_10956C,10956C,Beetree Bay,BAY,WATERBODY,HYDROLOGY,-41.99703,147.8287,TAS,2024-07-07,gazetted
POINT (146.76242 -42.09457),162457,TAS_12830G,12830G,Beginners Bay,BAY,WATERBODY,HYDROLOGY,-42.09457,146.76242,TAS,2024-07-07,gazetted
POINT (146.01647 -42.80084),162458,TAS_13277E,13277E,Bell Basin,BAY,WATERBODY,HYDROLOGY,-42.80084,146.01647,TAS,2024-07-07,gazetted
POINT (146.87777 -41.13384),162459,TAS_1428B,1428B,Bell Bay,BAY,WATERBODY,HYDROLOGY,-41.13384,146.87777,TAS,2024-07-07,gazetted
POINT (144.65017 -40.90225),162460,TAS_12655J,12655J,Bellas Hole,BAY,WATERBODY,HYDROLOGY,-40.90225,144.65017,TAS,2024-07-07,gazetted
POINT (147.82641 -42.93882),162461,TAS_12012B,12012B,Bellettes Bay,BAY,WATERBODY,HYDROLOGY,-42.93882,147.82641,TAS,2024-07-07,gazetted
POINT (146.90793 -42.10235),162462,TAS_22494T,22494T,Benneworth Corner,BAY,WATERBODY,HYDROLOGY,-42.10235,146.90793,TAS,2024-07-07,gazetted
POINT (147.25886 -42.81372),162463,TAS_3419L,3419L,Berriedale Bay,BAY,WATERBODY,HYDROLOGY,-42.81372,147.25886,TAS,2024-07-07,gazetted
POINT (145.26085 -42.28476),162464,TAS_6550B,6550B,Betsys Bay,BAY,WATERBODY,HYDROLOGY,-42.28476,145.26085,TAS,2024-07-07,gazetted
POINT (146.90986 -41.14519),162465,TAS_6911X,6911X,Big Bay,BAY,WATERBODY,HYDROLOGY,-41.14519,146.90986,TAS,2024-07-07,gazetted
POINT (145.02254 -40.76136),162466,TAS_12465T,12465T,Big Bay,BAY,WATERBODY,HYDROLOGY,-40.76136,145.02254,TAS,2024-07-07,gazetted
POINT (144.72311 -40.52946),162467,TAS_12656L,12656L,Big Duck Bay,BAY,WATERBODY,HYDROLOGY,-40.52946,144.72311,TAS,2024-07-07,gazetted
POINT (148.32524 -39.95774),162468,TAS_17105H,17105H,Big Gulch,BAY,WATERBODY,HYDROLOGY,-39.95774,148.32524,TAS,2024-07-07,gazetted
POINT (148.09829 -40.26442),162469,TAS_7791K,7791K,Big River Cove,BAY,WATERBODY,HYDROLOGY,-40.26442,148.09829,TAS,2024-07-07,gazetted
POINT (146.87592 -43.6244),162470,TAS_10481G,10481G,Big Trumpeter Bay,BAY,WATERBODY,HYDROLOGY,-43.6244,146.87592,TAS,2024-07-07,gazetted
POINT (147.25934 -42.78779),162471,TAS_3234P,3234P,Bilton Bay,BAY,WATERBODY,HYDROLOGY,-42.78779,147.25934,TAS,2024-07-07,gazetted
POINT (148.29892 -41.24455),162472,TAS_4113M,4113M,Binalong Bay,BAY,WATERBODY,HYDROLOGY,-41.24455,148.29892,TAS,2024-07-07,gazetted
POINT (148.30857 -41.24971),162473,TAS_14546K,14546K,Binalong Gulch,BAY,WATERBODY,HYDROLOGY,-41.24971,148.30857,TAS,2024-07-07,gazetted
POINT (148.31918 -41.90937),162474,TAS_14121B,14121B,Binghams Bay,BAY,WATERBODY,HYDROLOGY,-41.90937,148.31918,TAS,2024-07-07,gazetted
POINT (147.24131 -43.17591),162475,TAS_241F,241F,Birchs Bay,BAY,WATERBODY,HYDROLOGY,-43.17591,147.24131,TAS,2024-07-07,gazetted
POINT (145.46611 -42.47839),162476,TAS_5370X,5370X,Birchs Inlet,BAY,WATERBODY,HYDROLOGY,-42.47839,145.46611,TAS,2024-07-07,gazetted
POINT (145.2506 -42.44537),162477,TAS_5688A,5688A,Birthday Bay,BAY,WATERBODY,HYDROLOGY,-42.44537,145.2506,TAS,2024-07-07,gazetted
POINT (147.97341 -43.12214),162478,TAS_2444T,2444T,Bivouac Bay,BAY,WATERBODY,HYDROLOGY,-43.12214,147.97341,TAS,2024-07-07,gazetted
POINT (147.62342 -43.02096),162479,TAS_2179R,2179R,Black Jack Bight,BAY,WATERBODY,HYDROLOGY,-43.02096,147.62342,TAS,2024-07-07,gazetted
POINT (148.30094 -42.29449),162480,TAS_16436J,16436J,Black Patch Bay,BAY,WATERBODY,HYDROLOGY,-42.29449,148.30094,TAS,2024-07-07,gazetted
