,State,Municipality,Name Id,Place Name,Place Name Status,Feature Type Code,Feature Type,Longitude,Latitude,Place Id,Gender,Gazette Published date,Gazette Reference,Gazette URL,Historical Information,Origin Language,Australian Indigenous Language,Anzac Related Name,Date First Recorded Day,Date First Recorded Month,Date First Recorded Year,Source,Author,Title,Date Published Day,Date Published Month,Date Published Year,Publisher,Place of Publication,Pages(s),Editor,Chapter Title,Journal Name,Issue,Year,Newspaper,File Number,Site Owner,Page Title,Site Title,Url,Location,Type of Artefact,Cartographer,Scale,Informant,Tape Title,Tape Number,Municipal Name,Endorsed by Council,Council Minutes,Organisation Name,Endorsed by GPNAP,WKT
0,VIC,WANGARATTA RURAL CITY,126039,2 24 BATTALION DRIVE,REGISTERED,RNO,ROAD NAME ORIGIN,146.293133,-36.3739558,125208,,,,,The 2/24 Battalion has a Memorial Wall along the main entrance to the cemetery. The main entrance that passes the Memorial Wall was named &#39;2/24 Battalion&#39; in recognition of the Battalion.,,,,,,2013.0,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Wangaratta,,,,,POINT (146.293133 -36.3739558)
1,VIC,WANGARATTA RURAL CITY,125579,A N M ROAD,REGISTERED,RNO,ROAD NAME ORIGIN,146.4578457,-36.8099443,124795,,,,,"The private road has been known locally for over 30 years as ANM Road (private
access to a plantation owned by Australian Newsprint Mills (ANM) that is no
longer there). ANM constructed the existing bridge on the road during 1996, to
allow access for logging trucks etc. after the previous timber bridge was burnt.",,,,,,,Council,,,,,,,,1,,,,,,,,,,,,,,,,,,,Wangaratta Rural City,,,,,POINT (146.4578457 -36.8099443)
2,VIC,KINGSTON CITY,129953,ABBEY LANE,REGISTERED,RNO,ROAD NAME ORIGIN,145.1080153,-38.0386675,128913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.1080153 -38.0386675)
3,VIC,WARRNAMBOOL CITY,120263,ABBEY LANE,REGISTERED,RNO,ROAD NAME ORIGIN,142.4688186,-38.3800543,119833,,,,,"Benjamin Abbey (1862-1943) served two terms as a Warrnambool Councillor 1913-16 and 1920-30. He served as Mayor 1924-26 during the building of the Municipal Chambers. He was Manager of the Warrnambool branch of the Co-Operative Box Works of Victoria situated in South Warrnambool and a Trustee of the Methodist Church. His 2nd wife, Mrs Anastasia Abbey, died in 1994.",,,,29.0,4.0,1991.0,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Warrnambool,Yes,,,,POINT (142.4688186 -38.3800543)
4,VIC,BASS COAST SHIRE,127375,ABBOTT STREET,REGISTERED,RNO,ROAD NAME ORIGIN,145.718801,-38.6365263,126536,,,,,"In 1923, Mr F.W. Abbott, a Melbourne Real Estate Agent established a golf link west of Inverloch, which included fairways, bunkers, greens, watering dams, and a gold house. The course was later abandoned and the Abbott Estate was created, with streets such as Golf Street, Club Street, and Abbott Street.",,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Bass Coast Shire,Yes,,,,POINT (145.718801 -38.6365263)
5,VIC,BAYSIDE CITY,123775,ABBOTT STREET,REGISTERED,RNO,ROAD NAME ORIGIN,145.0195305,-37.950629,123083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.0195305 -37.950629)
6,VIC,STONNINGTON CITY,125208,ABECKETT STREET,REGISTERED,RNO,ROAD NAME ORIGIN,145.0094007,-37.8515492,124447,,,,,Previously known as Pohlman Street. Changed 16 October 1916. ,,,,,,,Council,,,,,,,,10,,,,,,,,,,,,,,,,,,,City of Stonnington,,,,,POINT (145.0094007 -37.8515492)
7,VIC,BASS COAST SHIRE,127636,ABECKETT STREET,REGISTERED,RNO,ROAD NAME ORIGIN,145.7281399,-38.6338484,126797,,,,,"Named after William Arthur A&#39;Beckett, who purchased numerous properties in central Inverloch in 1884 in the town&#39;s first land sales. ",,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Bass Coast Shire,Yes,,,,POINT (145.7281399 -38.6338484)
8,VIC,MELBOURNE CITY,119550,ABECKETT STREET,REGISTERED,RNO,ROAD NAME ORIGIN,144.9633372,-37.8085215,119159,,,,,"Named after Sir William A'Beckett, Port Phillip Resident Judge from 1845 and Victoria's first Chief Justice.",,,,,,1845.0,Newspaper,The Royal Historical Society of Victoria,Melbourne's Streets & Lanes,,,2004.0,,,,,,,RHSV Discovery Series Number 2,,Melbourne's Streets & Lanes,,,,,,,,,,,,,,,,,,POINT (144.9633372 -37.8085215)
9,VIC,WELLINGTON SHIRE,127945,ABERCROMBIE COURT,REGISTERED,RNO,ROAD NAME ORIGIN,146.6743326,-38.5662625,127101,,,,,"Percy was born in Yarram. He returned after serving on the Western Front. He was awarded the Military Cross &#39;for conspicuous gallantry and devotion to duty&#39;. During an attack when our advance was held up by the fire of a hostile machine gun, this officer rushed forward with a bomb, with which he killed the gunner and put the gun out of action. Rallying the men, who had been checked, he charged forward with fearless energy, and captured, after a hand-to-hand fight, the objective in his front, securing fifteen prisoners. Throughout the operation his coolness under heavy fire and his disregard for danger set a very fine example to his men.&#39; Source: &#39;Commonwealth Gazette&#39; No. 15 Date: 4 February 1919",,,Yes,2.0,7.0,2019.0,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Wellington Shire Council,Yes,2/7/2019,,,POINT (146.6743326 -38.5662625)
10,VIC,WHITEHORSE CITY,128494,ABERCROMBY ROAD,REGISTERED,RNO,ROAD NAME ORIGIN,145.144049,-37.8373606,127642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.144049 -37.8373606)
11,VIC,WODONGA CITY,122922,ABERDEEN DRIVE,REGISTERED,RNO,ROAD NAME ORIGIN,146.862709,-36.115906,122289,,,,,"Scottish Town theme for Garraleigh Estate and Murray Brae Estate. Named by developers, Cliff Drummond and partners.",,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,City of Wodonga,Yes,,,,POINT (146.862709 -36.115906)
12,VIC,WARRNAMBOOL CITY,120264,ABERLINE ROAD,REGISTERED,RNO,ROAD NAME ORIGIN,142.5189689,-38.3586245,119834,,,,,"Joseph Aberline (1809-1874) arrived in Warrnambool in 1849 after spending some years in New Zealand. His property, ""The Grove"", built on Wangoom Road in the 1860s was the site of a brick-making enterprise established by his son, John in 1891. It was from the Wangoom Road property that large boulders were taken for use as some of the filling for the Warrnambool breakwater. 
",,,,,,1900.0,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Warrnambool,Yes,,,,POINT (142.5189689 -38.3586245)
13,VIC,GREATER GEELONG CITY,129993,ABERVALE WAY,REGISTERED,RNO,ROAD NAME ORIGIN,144.3303863,-38.1956231,128949,,,,,"Presumably named for the Abervale Retirement Village, the name Abervale was selected to reference the Aberdeen Street Baptist Church, who began constructing the retirement village in 1983, as well as the suburb of Grovedale.",,,,,,,Website,Unknown,,2.0,5.0,2024.0,,,,,,,,,,,Keyton Holdings Pty Ltd,Abervale Celebrates 40 year Anniversary,Keyton,https://keyton.com.au/home/blogs/abervale-celebrates-40-year-anniversary,,,,,,,,,,,,,POINT (144.3303863 -38.1956231)
14,VIC,BASS COAST SHIRE,127201,ABINGDON AVENUE,REGISTERED,RNO,ROAD NAME ORIGIN,145.2077886,-38.4613815,126353,,,,,British racing track. ,,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Bass Coast Shire,Yes,,,,POINT (145.2077886 -38.4613815)
15,VIC,WHITEHORSE CITY,128479,ACACIA AVENUE,REGISTERED,RNO,ROAD NAME ORIGIN,145.1445835,-37.8255604,127628,,,,,One of a series of botanical names,,,,,,,Website,Whitehorse Historical Society Inc.,,20.0,12.0,2022.0,,,,,,,,,,,Whitehorse Historical Society Inc.,Street Names,Whitehorse Historical Society Inc.,"https://whitehorsehistory.org.au/street-names/#:~:text=Street%20Names%20%20%20%20STREET%20%20,%20%20",,,,,,,,,,,,,POINT (145.1445835 -37.8255604)
16,VIC,BASS COAST SHIRE,127324,ACACIA AVENUE,REGISTERED,RNO,ROAD NAME ORIGIN,145.3086517,-38.5100042,126485,,,,,Flora / Fauna.,,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Bass Coast Shire,Yes,,,,POINT (145.3086517 -38.5100042)
17,VIC,BASS COAST SHIRE,127271,ACACIA CLOSE,REGISTERED,RNO,ROAD NAME ORIGIN,145.2417657,-38.4611559,126431,,,,,Flora / Fauna.,,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Bass Coast Shire,Yes,,,,POINT (145.2417657 -38.4611559)
18,VIC,WARRNAMBOOL CITY,120283,ACACIA COURT,REGISTERED,RNO,ROAD NAME ORIGIN,142.5172705,-38.3935826,119847,,,,,"Part of the private ""Motang Park"" subdivision. Acacia is the botanical name of the Australian Wattle.",,,,,,1982.0,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Warrnambool,No,,,,POINT (142.5172705 -38.3935826)
19,VIC,BASS COAST SHIRE,127323,ACACIA COURT,REGISTERED,RNO,ROAD NAME ORIGIN,145.6986879,-38.6442638,126484,,,,,Flora / Fauna.,,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Bass Coast Shire,Yes,,,,POINT (145.6986879 -38.6442638)
20,VIC,WODONGA CITY,122925,ACACIA CRESCENT,REGISTERED,RNO,ROAD NAME ORIGIN,146.8691652,-36.1265586,122292,,,,,Flora theme for Parkland Estate.,,,,,,,Council,,,,,,,, ,,,,,,,,,,,,,,,,,,,CITY OF WODONGA,,,,,POINT (146.8691652 -36.1265586)
21,VIC,MOONEE VALLEY CITY,119780,ACACIA LANE,REGISTERED,RNO,ROAD NAME ORIGIN,144.9283528,-37.7853264,119382,,,,,"The name was selected to continue the horticultural/botanical theme of the area, as there are two nearby streets which have names derived from tree types, i.e. Oak street and Elm Street.",,,,,5.0,2008.0,Oral,,,,,,,,,,,,,,,,,,,,,,,,Council,,,,,,,,POINT (144.9283528 -37.7853264)
