,State,Municipality,Name Id,Place Name,Place Name Status,Feature Type Code,Feature Type,Longitude,Latitude,Place Id,Gender,Aboriginal Origins,IsIndigenous,Traditional Owner Group,Traditional Owner Description,Gazette Published date,Gazette Reference,Gazette URL,Historical Information,Origin Language,Australian Indigenous Language,Anzac Related Name,Date First Recorded Day,Date First Recorded Month,Date First Recorded Year,Source,Author,Title,Date Published Day,Date Published Month,Date Published Year,Publisher,Place of Publication,Pages(s),Editor,Chapter Title,Journal Name,Issue,Year,Newspaper,File Number,Site Owner,Page Title,Site Title,Url,Location,Type of Artefact,Cartographer,Scale,Informant,Tape Title,Tape Number,Municipal Name,Endorsed by Council,Council Minutes,Organisation Name,Endorsed by GPNAP,WKT
0,VIC,YARRA RANGES SHIRE,129693, Binak,TRADITIONAL,LOCB,LOCALITY,145.6376847,-37.9010544,100312,,Aboriginal Name,TRUE,Wurundjeri Woi Wurrung Cultural Heritage Aboriginal Corporation,,2013-01-01,,,"Traditional Name: Binak Explanation: basket Discussion on Current Name: rural locality NE of Gembrook on Falls Creek, also Mt Beenak,  Berwick-Pakenham HS 1982: 50,  Blake 1991.",Woiwurrung,Yes,,,,,Website,"Clark, Ian and Heydon, Toby",,,,2011,,,,,,,,,,,Victorian Aboriginal Corporation for Languages,,Victorian Aboriginal Corporation for Languages,http://www.vaclang.org.au,,,,,,,,,,,,,POINT (145.6376847 -37.9010544)
1,VIC,YARRA RANGES SHIRE,129693, Binak,TRADITIONAL,LOCB,LOCALITY,145.6376847,-37.9010544,100312,,Aboriginal Name,TRUE,Wurundjeri Woi Wurrung Cultural Heritage Aboriginal Corporation,,2013-01-01,,,"From the Aboriginal word for &#34;hand basket&#34;. Mount Beenak School, No.3764, operated intermittently between 1912 and 1928. 
",,Yes,,,,,Website,Casey Cardinia Libraries,,12,5,2021,,,,,,,,,,,Casey Cardinia Libraries,Place Names of Casey and Cardinia,www.cclc.vic.gov.au,https://www.cclc.vic.gov.au/cms/content/uploads/2017/11/Casey-Cardinia-Place-Names-a-history.pdf ,,,,,,,,,,,,,POINT (145.6376847 -37.9010544)
2,VIC,WYNDHAM CITY,126393, Dianella Community Centre,REGISTERED,COCE,COMMUNITY CENTRE,144.6468532,-37.8529757,125555,,,FALSE,,,2021-08-05,http://www.gazette.vic.gov.au/gazette/Gazettes2021/GG2021G031.pdf#page=13,http://www.gazette.vic.gov.au/gazette/Gazettes2021/GG2021G031.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.6468532 -37.8529757)
3,VIC,WELLINGTON SHIRE,127020, Kate Kearney Channel,REGISTERED,SCMA,SEA CHANNEL (MARINE),146.7010777,-38.6985453,126176,Woman,,FALSE,,,2021-11-11,http://www.gazette.vic.gov.au/gazette/Gazettes2021/GG2021G045.pdf#page=27,http://www.gazette.vic.gov.au/gazette/Gazettes2021/GG2021G045.pdf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (146.7010777 -38.6985453)
4,VIC,MORNINGTON PENINSULA SHIRE,123623, Littlejohn Bridge,REGISTERED,ROBR,ROAD BRIDGE,145.0108642,-38.3292785,122954,,,FALSE,,,2018-04-12,"G15, PAGE 678",,Commemorates William Alfred Littlejohn of a  pioneering family in the Dromana region.,,,,,,,Council,,,,,,,,,,,,,,,,,,,,,,,,,,,Mornington Peninsula Shire,,,,,POINT (145.0108642 -38.3292785)
5,VIC,MELBOURNE CITY,127097, West Swanson Dock Container Terminal,REGISTERED,DOCK,DOCK,144.91235,-37.8131528,26853,No Gender,,FALSE,,,2021-12-09,http://www.gazette.vic.gov.au/gazette/Gazettes2021/GG2021G049.pdf#page=34,http://www.gazette.vic.gov.au/gazette/Gazettes2021/GG2021G049.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.91235 -37.8131528)
6,VIC,CASEY CITY,130189,1001 Steps,RECORDED,WLTR,WALKING TRACK,145.3267333,-38.003925,129140,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.3267333 -38.003925)
7,VIC,CASEY CITY,115678,123KIDS,RECORDED,EAED,EARLY EDUCATION,145.2665399,-38.0377829,115433,,,FALSE,,,,Sourced from Vicmap Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.2665399 -38.0377829)
8,VIC,GREATER GEELONG CITY,121075,13TH BEACH SURF LIFE SAVING CLUB,REGISTERED,PARK,PARK,144.4525625,-38.2827167,120552,,,FALSE,,,,Sourced from Vicmap Oct 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (144.4525625 -38.2827167)
9,VIC,NORTHERN GRAMPIANS SHIRE,2,1ST DIAL,REGISTERED,PEAK,PEAK,142.581812,-37.22874,2,No Gender,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.581812 -37.22874)
10,VIC,NORTHERN GRAMPIANS SHIRE,30912,2nd DIAL,HISTORICAL,PEAK,PEAK,142.581812,-37.2331811,14,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (142.581812 -37.2331811)
11,VIC,BOROONDARA CITY,115679,3 APPLES CHILDCARE CENTRE & KINDERGARTEN,RECORDED,EAED,EARLY EDUCATION,145.081842,-37.811341,115434,,,FALSE,,,,Sourced from Vicmap Oct 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (145.081842 -37.811341)
12,VIC,WEST WIMMERA SHIRE,125335,36th Parallel Mark,REGISTERED,SUMA,SURVEY MARKER,140.997,-35.9979338,124571,,,FALSE,,,2020-07-02,G26 2020 1259,www.gazette.vic.gov.au/gazette/Gazettes2020/GG2020G026.pdf#page=25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (140.997 -35.9979338)
